date,symbol,expiry,close,contracts,value,open_interest,stated_lot,implied_lot
2012-07-05,BANKNIFTY,26-Jul-2012,10638.25,61779,163262.39,2791550,,24.84
2012-07-05,BANKNIFTY,30-Aug-2012,10656.0,2384,6305.25,88025,,24.82
2012-07-05,BANKNIFTY,27-Sep-2012,10667.65,103,273.04,3500,,24.85
2012-07-05,NIFTY,26-Jul-2012,5344.5,186145,496380.45,23765850,,49.89
2012-07-05,NIFTY,30-Aug-2012,5373.9,5508,14761.52,1422750,,49.87
2012-07-05,NIFTY,27-Sep-2012,5397.75,2253,6069.03,253750,,49.91
2012-07-06,BANKNIFTY,26-Jul-2012,10643.55,76791,203580.75,2906425,,24.91
2012-07-06,BANKNIFTY,30-Aug-2012,10662.8,2381,6325.53,88925,,24.92
2012-07-06,BANKNIFTY,27-Sep-2012,10677.4,126,335.17,4225,,24.91
2012-07-06,NIFTY,26-Jul-2012,5327.2,215230,572424.96,23407100,,49.92
2012-07-06,NIFTY,30-Aug-2012,5354.2,4853,12972.9,1431750,,49.93
2012-07-06,NIFTY,27-Sep-2012,5378.4,2076,5574.88,289750,,49.93
2012-07-09,BANKNIFTY,26-Jul-2012,10569.15,65330,172471.34,2836725,,24.98
2012-07-09,BANKNIFTY,30-Aug-2012,10592.6,2013,5325.13,89900,,24.97
2012-07-09,BANKNIFTY,27-Sep-2012,10605.25,140,371.09,4375,,24.99
2012-07-09,NIFTY,26-Jul-2012,5279.4,220065,581409.43,22810500,,50.04
2012-07-09,NIFTY,30-Aug-2012,5307.8,6124,16263.86,1464000,,50.03
2012-07-09,NIFTY,27-Sep-2012,5334.7,1848,4932.07,315450,,50.03
2012-07-10,BANKNIFTY,26-Jul-2012,10759.5,74097,197936.71,2956825,,24.83
2012-07-10,BANKNIFTY,30-Aug-2012,10776.8,3091,8273.33,111375,,24.84
2012-07-10,BANKNIFTY,27-Sep-2012,10788.75,166,444.31,5200,,24.81
2012-07-10,NIFTY,26-Jul-2012,5358.15,269494,717698.36,23546900,,49.7
2012-07-10,NIFTY,30-Aug-2012,5384.95,10791,28899.25,1660400,,49.73
2012-07-10,NIFTY,27-Sep-2012,5410.5,1673,4498.64,341150,,49.7
2012-07-11,BANKNIFTY,26-Jul-2012,10733.9,59102,158791.21,2909525,,25.03
2012-07-11,BANKNIFTY,30-Aug-2012,10749.65,3062,8241.11,127125,,25.04
2012-07-11,BANKNIFTY,27-Sep-2012,10763.6,119,320.82,5475,,25.05
2012-07-11,NIFTY,26-Jul-2012,5322.9,192337,512709.03,23254600,,50.08
2012-07-11,NIFTY,30-Aug-2012,5348.65,9865,26418.61,1812000,,50.07
2012-07-11,NIFTY,27-Sep-2012,5374.2,1703,4583.71,374400,,50.08
2012-07-12,BANKNIFTY,26-Jul-2012,10632.7,84519,224629.0,2783175,,25.0
2012-07-12,BANKNIFTY,30-Aug-2012,10648.05,3614,9618.15,147800,,24.99
2012-07-12,BANKNIFTY,27-Sep-2012,10656.45,147,391.87,5400,,25.02
2012-07-12,NIFTY,26-Jul-2012,5251.4,309249,812556.85,23267600,,50.03
2012-07-12,NIFTY,30-Aug-2012,5277.35,14524,38360.98,1894950,,50.05
2012-07-12,NIFTY,27-Sep-2012,5304.55,2907,7720.64,387600,,50.07
2012-07-13,BANKNIFTY,26-Jul-2012,10617.15,66555,177609.22,2726300,,25.13
2012-07-13,BANKNIFTY,30-Aug-2012,10636.1,3372,9014.89,178800,,25.14
2012-07-13,BANKNIFTY,27-Sep-2012,10650.65,193,516.68,5925,,25.14
2012-07-13,NIFTY,26-Jul-2012,5240.45,208579,548077.99,23747700,,50.14
2012-07-13,NIFTY,30-Aug-2012,5265.5,19476,51495.28,2145250,,50.21
2012-07-13,NIFTY,27-Sep-2012,5290.6,2190,5810.8,461100,,50.15
2012-07-16,BANKNIFTY,26-Jul-2012,10578.4,79631,211686.92,2709125,,25.13
2012-07-16,BANKNIFTY,30-Aug-2012,10597.1,5670,15093.93,225800,,25.12
2012-07-16,BANKNIFTY,27-Sep-2012,10609.7,211,562.69,6300,,25.14
2012-07-16,NIFTY,26-Jul-2012,5206.85,216433,566112.37,23946600,,50.23
2012-07-16,NIFTY,30-Aug-2012,5232.3,15936,41857.1,2362450,,50.2
2012-07-16,NIFTY,27-Sep-2012,5259.6,2872,7580.04,516950,,50.18
2012-07-17,BANKNIFTY,26-Jul-2012,10560.45,64877,171816.86,2632250,,25.08
2012-07-17,BANKNIFTY,30-Aug-2012,10579.0,5609,14878.55,283225,,25.07
2012-07-17,BANKNIFTY,27-Sep-2012,10591.35,126,334.86,6925,,25.09
2012-07-17,NIFTY,26-Jul-2012,5198.65,200145,522069.93,24318250,,50.18
2012-07-17,NIFTY,30-Aug-2012,5222.45,22945,60121.19,2697800,,50.17
2012-07-17,NIFTY,27-Sep-2012,5248.5,2258,5952.62,554750,,50.23
