date,client_type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
2012-07-05,Client,239762,363106,695921.0,241154.0,390710,466415,584563,798565,79938,43866,61828,29948,1916612.0,2079164.0
2012-07-05,DII,43948,155,20396.0,17850.0,121654,95315,0,0,0,0,0,0,281313.0,18005.0
2012-07-05,FII,346185,190711,255290.0,658210.0,337240,583872,305099,190945,8702,7474,8304,7349,1538763.0,1360618.0
2012-07-05,Pro,58511,134434,138007.0,192400.0,293462,238608,253404,394700,25139,14791,43647,28834,768518.0,1047419.0
2012-07-05,TOTAL,688406,688406,1109614.0,1109614.0,1143066,1384210,1143066,1384210,113779,66131,113779,66131,4505206.0,4505206.0
2012-07-06,Client,242248,360210,700223.0,241256.0,407924,472093,606593,822435,91137,45585,66824,32306,1959210.0,2129624.0
2012-07-06,DII,43109,155,21412.0,18183.0,123610,95315,0,0,0,0,0,0,283446.0,18338.0
2012-07-06,FII,341585,197967,258649.0,668895.0,361105,607008,304695,198185,9718,8380,9278,7614,1586445.0,1386634.0
2012-07-06,Pro,62259,130869,140674.0,192624.0,289887,253234,271238,407030,25171,15584,49924,29629,786809.0,1081314.0
2012-07-06,TOTAL,689201,689201,1120958.0,1120958.0,1182526,1427650,1182526,1427650,126026,69549,126026,69549,4615910.0,4615910.0
2012-07-09,Client,229691,348920,701531.0,234983.0,462464,439903,630317,832421,105471,46956,73101,33917,1986016.0,2153659.0
2012-07-09,DII,42763,155,21220.0,18046.0,123610,96315,0,0,0,0,0,0,283908.0,18201.0
2012-07-09,FII,342313,196646,259119.0,680962.0,365763,642933,318525,196495,10284,8338,11437,8115,1628750.0,1412180.0
2012-07-09,Pro,63131,132177,146257.0,194136.0,270279,246412,273274,396647,25349,17090,56566,30352,768518.0,1083152.0
2012-07-09,TOTAL,677898,677898,1128127.0,1128127.0,1222116,1425563,1222116,1425563,141104,72384,141104,72384,4667192.0,4667192.0
2012-07-10,Client,249344,363834,708113.0,244814.0,426484,500502,640967,871334,107432,56177,77197,38517,2048052.0,2236663.0
2012-07-10,DII,39352,155,23334.0,18359.0,124463,95250,0,0,0,0,0,0,282399.0,18514.0
2012-07-10,FII,349565,208862,266771.0,686275.0,406720,670764,327611,202690,11527,9944,13586,9635,1715291.0,1448659.0
2012-07-10,Pro,66424,131834,155463.0,204233.0,285928,235922,275017,428414,28635,16773,56811,34742,789145.0,1131051.0
2012-07-10,TOTAL,704685,704685,1153681.0,1153681.0,1243595,1502438,1243595,1502438,147594,82894,147594,82894,4834887.0,4834887.0
2012-07-11,Client,244787,357696,728816.0,244165.0,462800,490788,638218,885903,140463,81282,90385,49203,2148936.0,2265570.0
