date,symbol,expiry,futures_price,price_scan,price_scan_pct,vol_scan
2012-07-05,BANKNIFTY,201207,10536.25,738.8,7.012,0.04
2012-07-05,NIFTY,201207,5322.65,373.3,7.0134,0.04
2012-07-06,BANKNIFTY,201207,10638.25,746.2,7.0143,0.04
2012-07-06,NIFTY,201207,5344.5,374.9,7.0147,0.04
2012-07-09,BANKNIFTY,20120726,10643.55,747.1,7.0193,0.04
2012-07-09,NIFTY,20120726,5327.2,374.0,7.0206,0.04
2012-07-10,BANKNIFTY,20120726,10569.15,742.1,7.0214,0.04
2012-07-10,NIFTY,20120726,5279.4,370.7,7.0216,0.04
2012-07-11,BANKNIFTY,20120726,10759.5,755.7,7.0236,0.04
2012-07-11,NIFTY,20120726,5358.15,376.4,7.0248,0.04
2012-07-12,BANKNIFTY,20120726,10733.9,754.1,7.0254,0.04
2012-07-12,NIFTY,20120726,5322.9,374.0,7.0262,0.04
2012-07-13,BANKNIFTY,20120726,10632.7,747.2,7.0274,0.04
2012-07-13,NIFTY,20120726,5251.4,369.1,7.0286,0.04
2012-07-16,BANKNIFTY,20120726,10617.15,746.7,7.033,0.04
2012-07-16,NIFTY,20120726,5240.45,368.6,7.0337,0.04
2012-07-17,BANKNIFTY,20120726,10578.4,744.2,7.0351,0.04
2012-07-17,NIFTY,20120726,5206.85,366.3,7.035,0.04
2012-07-18,BANKNIFTY,20120726,10560.45,743.1,7.0366,0.04
2012-07-18,NIFTY,20120726,5198.65,365.8,7.0364,0.04
2012-07-19,BANKNIFTY,20120726,10628.1,748.1,7.0389,0.04
2012-07-19,NIFTY,20120726,5223.55,367.7,7.0393,0.04
2012-07-20,BANKNIFTY,20120726,10640.0,749.1,7.0404,0.04
2012-07-20,NIFTY,20120726,5257.0,370.1,7.0401,0.04
2012-07-23,BANKNIFTY,20120726,10509.95,740.5,7.0457,0.04
2012-07-23,NIFTY,20120726,5216.6,367.6,7.0467,0.04
2012-07-24,BANKNIFTY,20120726,10306.65,726.4,7.0479,0.04
2012-07-24,NIFTY,20120726,5120.4,360.9,7.0483,0.04
2012-07-25,BANKNIFTY,20120726,10328.05,730.5,7.073,0.04
2012-07-25,NIFTY,20120726,5135.35,363.3,7.0745,0.04
2012-07-26,BANKNIFTY,20120726,10289.15,730.4,7.0987,0.04
2012-07-26,NIFTY,20120726,5112.55,362.9,7.0982,0.04
2012-07-27,BANKNIFTY,20120830,10151.85,711.3,7.0066,0.04
2012-07-27,NIFTY,20120830,5081.3,355.7,7.0002,0.04
2012-07-30,BANKNIFTY,20120830,10206.5,714.2,6.9975,0.04
2012-07-30,NIFTY,20120830,5123.55,358.5,6.9971,0.04
2012-07-31,BANKNIFTY,20120830,10472.25,732.9,6.9985,0.04
2012-07-31,NIFTY,20120830,5216.7,365.1,6.9987,0.04
2012-08-01,BANKNIFTY,20120830,10435.3,730.5,7.0003,0.04
2012-08-01,NIFTY,20120830,5240.55,366.9,7.0012,0.04
2012-08-02,BANKNIFTY,20120830,10465.55,732.8,7.002,0.04
2012-08-02,NIFTY,20120830,5256.3,368.1,7.003,0.04
2012-08-03,BANKNIFTY,20120830,10428.7,730.4,7.0037,0.04
2012-08-03,NIFTY,20120830,5246.7,367.5,7.0044,0.04
2012-08-06,BANKNIFTY,20120830,10384.4,727.9,7.0096,0.04
2012-08-06,NIFTY,20120830,5241.05,367.4,7.01,0.04
2012-08-07,BANKNIFTY,20120830,10498.5,736.1,7.0115,0.04
2012-08-07,NIFTY,20120830,5296.85,371.4,7.0117,0.04
2012-08-08,BANKNIFTY,20120830,10620.5,744.8,7.0129,0.04
2012-08-08,NIFTY,20120830,5347.7,375.1,7.0142,0.04
2012-08-09,BANKNIFTY,20120830,10559.15,740.7,7.0148,0.04
2012-08-09,NIFTY,20120830,5354.75,375.7,7.0162,0.04
2012-08-10,BANKNIFTY,20120830,10505.7,737.2,7.0171,0.04
2012-08-10,NIFTY,20120830,5350.05,375.4,7.0168,0.04
2012-08-13,BANKNIFTY,20120830,10424.7,732.1,7.0227,0.04
2012-08-13,NIFTY,20120830,5345.1,375.4,7.0233,0.04
2012-08-14,BANKNIFTY,20120830,10459.85,734.7,7.024,0.04
2012-08-14,NIFTY,20120830,5371.9,377.4,7.0254,0.04
2012-08-16,BANKNIFTY,20120830,10576.35,743.3,7.0279,0.04
2012-08-16,NIFTY,20120830,5406.85,380.0,7.0281,0.04
2012-08-17,BANKNIFTY,20120830,10472.7,736.2,7.0297,0.04
2012-08-17,NIFTY,20120830,5382.0,378.4,7.0308,0.04
2012-08-21,BANKNIFTY,20120830,10460.95,736.2,7.0376,0.04
2012-08-21,NIFTY,20120830,5382.35,378.8,7.0378,0.04
