date,symbol,spot_close,spot_prev,fut_close,fut_prev,sigma_underlying,sigma_futures,sigma_applicable,ann_applicable
2012-07-05,BANKNIFTY,10641.9,10529.45,10638.25,10536.25,0.0151,0.0157,0.0157,0.3006
2012-07-05,NIFTY,5327.3,5302.55,5344.5,5322.65,0.0098,0.0109,0.0109,0.2074
2012-07-06,BANKNIFTY,10655.35,10641.9,10643.55,10638.25,0.0147,0.0153,0.0153,0.2914
2012-07-06,NIFTY,5316.95,5327.3,5327.2,5344.5,0.0095,0.0106,0.0106,0.2017
2012-07-09,BANKNIFTY,10588.05,10655.35,10569.15,10643.55,0.0143,0.0149,0.0149,0.2845
2012-07-09,NIFTY,5275.15,5316.95,5279.4,5327.2,0.0094,0.0105,0.0105,0.2
2012-07-10,BANKNIFTY,10751.55,10588.05,10759.5,10569.15,0.0144,0.0151,0.0151,0.2882
2012-07-10,NIFTY,5345.35,5275.15,5358.15,5279.4,0.0097,0.0108,0.0108,0.2059
2012-07-11,BANKNIFTY,10713.3,10751.55,10733.9,10759.5,0.014,0.0146,0.0146,0.2796
2012-07-11,NIFTY,5306.3,5345.35,5322.9,5358.15,0.0096,0.0106,0.0106,0.2021
2012-07-12,BANKNIFTY,10616.3,10713.3,10632.7,10733.9,0.0137,0.0144,0.0144,0.2747
2012-07-12,NIFTY,5235.25,5306.3,5251.4,5322.9,0.0098,0.0108,0.0108,0.2059
2012-07-13,BANKNIFTY,10594.45,10616.3,10617.15,10632.7,0.0133,0.0139,0.0139,0.2664
2012-07-13,NIFTY,5227.25,5235.25,5240.45,5251.4,0.0095,0.0105,0.0105,0.1998
2012-07-16,BANKNIFTY,10568.2,10594.45,10578.4,10617.15,0.0129,0.0135,0.0135,0.2589
2012-07-16,NIFTY,5197.25,5227.25,5206.85,5240.45,0.0094,0.0103,0.0103,0.1961
2012-07-17,BANKNIFTY,10558.05,10568.2,10560.45,10578.4,0.0125,0.0131,0.0131,0.2511
2012-07-17,NIFTY,5192.85,5197.25,5198.65,5206.85,0.0091,0.01,0.01,0.1902
2012-07-18,BANKNIFTY,10607.1,10558.05,10628.1,10560.45,0.0122,0.0128,0.0128,0.2453
2012-07-18,NIFTY,5216.3,5192.85,5223.55,5198.65,0.0089,0.0097,0.0097,0.1858
2012-07-19,BANKNIFTY,10622.05,10607.1,10640.0,10628.1,0.0118,0.0125,0.0125,0.2379
2012-07-19,NIFTY,5242.7,5216.3,5257.0,5223.55,0.0087,0.0096,0.0096,0.1826
2012-07-20,BANKNIFTY,10481.6,10622.05,10509.95,10640.0,0.0119,0.0124,0.0124,0.2377
2012-07-20,NIFTY,5205.1,5242.7,5216.6,5257.0,0.0086,0.0095,0.0095,0.1807
2012-07-23,BANKNIFTY,10274.6,10481.6,10306.65,10509.95,0.0126,0.013,0.013,0.2479
2012-07-23,NIFTY,5117.95,5205.1,5120.4,5216.6,0.0093,0.0102,0.0102,0.1956
2012-07-24,BANKNIFTY,10299.0,10274.6,10328.05,10306.65,0.0122,0.0126,0.0126,0.2406
2012-07-24,NIFTY,5128.2,5117.95,5135.35,5120.4,0.009,0.01,0.01,0.1902
2012-07-25,BANKNIFTY,10267.85,10299.0,10289.15,10328.05,0.0118,0.0122,0.0122,0.2339
2012-07-25,NIFTY,5109.6,5128.2,5112.55,5135.35,0.0088,0.0097,0.0097,0.1855
2012-07-26,BANKNIFTY,10083.8,10267.85,10083.8,10289.15,0.0123,0.0129,0.0129,0.2456
2012-07-26,NIFTY,5043.0,5109.6,5043.0,5112.55,0.0091,0.01,0.01,0.191
2012-07-27,BANKNIFTY,10140.55,10083.8,10206.5,10083.8,0.012,0.0128,0.0128,0.2448
2012-07-27,NIFTY,5099.85,5043.0,5123.55,5043.0,0.0093,0.0104,0.0104,0.1994
2012-07-30,BANKNIFTY,10412.15,10140.55,10472.25,10206.5,0.0133,0.0139,0.0139,0.2661
2012-07-30,NIFTY,5199.8,5099.85,5216.7,5123.55,0.0102,0.011,0.011,0.211
2012-07-31,BANKNIFTY,10384.1,10412.15,10435.3,10472.25,0.0129,0.0135,0.0135,0.2585
2012-07-31,NIFTY,5229.0,5199.8,5240.55,5216.7,0.01,0.0108,0.0108,0.2056
2012-08-01,BANKNIFTY,10419.9,10384.1,10465.55,10435.3,0.0126,0.0131,0.0131,0.251
2012-08-01,NIFTY,5240.5,5229.0,5256.3,5240.55,0.0097,0.0105,0.0105,0.1999
2012-08-02,BANKNIFTY,10379.6,10419.9,10428.7,10465.55,0.0122,0.0128,0.0128,0.2439
2012-08-02,NIFTY,5227.75,5240.5,5246.7,5256.3,0.0094,0.0102,0.0102,0.194
2012-08-03,BANKNIFTY,10315.6,10379.6,10384.4,10428.7,0.0119,0.0124,0.0124,0.2373
2012-08-03,NIFTY,5215.7,5227.75,5241.05,5246.7,0.0091,0.0098,0.0098,0.1881
2012-08-06,BANKNIFTY,10462.4,10315.6,10498.5,10384.4,0.0121,0.0123,0.0123,0.2357
2012-08-06,NIFTY,5282.55,5215.7,5296.85,5241.05,0.0094,0.0099,0.0099,0.189
2012-08-07,BANKNIFTY,10591.95,10462.4,10620.5,10498.5,0.0121,0.0123,0.0123,0.2348
2012-08-07,NIFTY,5336.7,5282.55,5347.7,5296.85,0.0094,0.0099,0.0099,0.1886
2012-08-08,BANKNIFTY,10529.25,10591.95,10559.15,10620.5,0.0118,0.012,0.012,0.2293
2012-08-08,NIFTY,5338.0,5336.7,5354.75,5347.7,0.0091,0.0096,0.0096,0.183
2012-08-09,BANKNIFTY,10445.9,10529.25,10505.7,10559.15,0.0116,0.0117,0.0117,0.2235
2012-08-09,NIFTY,5322.95,5338.0,5350.05,5354.75,0.0089,0.0093,0.0093,0.1775
2012-08-10,BANKNIFTY,10358.95,10445.9,10424.7,10505.7,0.0115,0.0115,0.0115,0.2197
2012-08-10,NIFTY,5320.4,5322.95,5345.1,5350.05,0.0086,0.009,0.009,0.1721
2012-08-13,BANKNIFTY,10401.3,10358.95,10459.85,10424.7,0.0112,0.0112,0.0112,0.2136
2012-08-13,NIFTY,5347.9,5320.4,5371.9,5345.1,0.0084,0.0088,0.0088,0.1685
2012-08-14,BANKNIFTY,10519.15,10401.3,10576.35,10459.85,0.0112,0.0112,0.0112,0.2135
2012-08-14,NIFTY,5380.35,5347.9,5406.85,5371.9,0.0083,0.0087,0.0087,0.1662
2012-08-16,BANKNIFTY,10426.75,10519.15,10472.7,10576.35,0.011,0.0111,0.0111,0.2121
2012-08-16,NIFTY,5362.95,5380.35,5382.0,5406.85,0.0081,0.0085,0.0085,0.1625
2012-08-17,BANKNIFTY,10417.9,10426.75,10460.95,10472.7,0.0107,0.0108,0.0108,0.2057
2012-08-17,NIFTY,5366.3,5362.95,5382.35,5382.0,0.0079,0.0082,0.0082,0.1576
2012-08-21,BANKNIFTY,10469.5,10417.9,10512.0,10460.95,0.0104,0.0105,0.0105,0.2007
2012-08-21,NIFTY,5421.0,5366.3,5441.9,5382.35,0.008,0.0084,0.0084,0.1612
2012-08-22,BANKNIFTY,10472.2,10469.5,10507.55,10512.0,0.0101,0.0102,0.0102,0.1946
2012-08-22,NIFTY,5412.85,5421.0,5431.1,5441.9,0.0078,0.0082,0.0082,0.1566
2012-08-23,BANKNIFTY,10457.7,10472.2,10483.15,10507.55,0.0098,0.0099,0.0099,0.189
2012-08-23,NIFTY,5415.35,5412.85,5427.15,5431.1,0.0075,0.0079,0.0079,0.1518
2012-08-24,BANKNIFTY,10332.85,10457.7,10366.95,10483.15,0.01,0.01,0.01,0.1905
2012-08-24,NIFTY,5386.7,5415.35,5402.7,5427.15,0.0074,0.0078,0.0078,0.1487
2012-08-27,BANKNIFTY,10150.4,10332.85,10177.45,10366.95,0.0106,0.0107,0.0107,0.2039
2012-08-27,NIFTY,5350.25,5386.7,5362.4,5402.7,0.0074,0.0078,0.0078,0.1484
2012-08-28,BANKNIFTY,10059.4,10150.4,10090.45,10177.45,0.0105,0.0106,0.0106,0.2017
2012-08-28,NIFTY,5334.6,5350.25,5346.05,5362.4,0.0072,0.0076,0.0076,0.1446
2012-08-29,BANKNIFTY,10011.9,10059.4,10034.7,10090.45,0.0103,0.0103,0.0103,0.1973
2012-08-29,NIFTY,5287.8,5334.6,5296.6,5346.05,0.0073,0.0077,0.0077,0.1468
2012-08-30,BANKNIFTY,10085.2,10011.9,10085.2,10034.7,0.0101,0.0101,0.0101,0.1931
2012-08-30,NIFTY,5315.05,5287.8,5315.05,5296.6,0.0072,0.0075,0.0075,0.1432
2012-08-31,BANKNIFTY,9990.5,10085.2,10070.7,10085.2,0.0101,0.0098,0.0101,0.1924
2012-08-31,NIFTY,5258.5,5315.05,5291.65,5315.05,0.0075,0.0073,0.0075,0.1425
2012-09-03,BANKNIFTY,9963.0,9990.5,10032.65,10070.7,0.0098,0.0095,0.0098,0.1869
2012-09-03,NIFTY,5253.75,5258.5,5282.9,5291.65,0.0072,0.0071,0.0072,0.1382
2012-09-04,BANKNIFTY,10020.65,9963.0,10088.05,10032.65,0.0096,0.0093,0.0096,0.1833
2012-09-04,NIFTY,5274.0,5253.75,5299.4,5282.9,0.0071,0.007,0.0071,0.1352
2012-09-05,BANKNIFTY,9827.9,10020.65,9899.95,10088.05,0.0104,0.0102,0.0104,0.1996
2012-09-05,NIFTY,5225.7,5274.0,5253.35,5299.4,0.0072,0.0071,0.0072,0.1379
2012-09-06,BANKNIFTY,9893.15,9827.9,9937.9,9899.95,0.0103,0.0099,0.0103,0.1959
2012-09-06,NIFTY,5238.4,5225.7,5261.1,5253.35,0.007,0.0069,0.007,0.1342
2012-09-07,BANKNIFTY,10122.0,9893.15,10139.85,9937.9,0.0114,0.0108,0.0114,0.218
2012-09-07,NIFTY,5342.1,5238.4,5359.1,5261.1,0.0083,0.0081,0.0083,0.1592
2012-09-10,BANKNIFTY,10069.85,10147.05,10096.0,10179.0,0.0109,0.0104,0.0109,0.2084
2012-09-10,NIFTY,5363.45,5358.7,5371.65,5380.2,0.0079,0.0076,0.0079,0.1504
2012-09-11,BANKNIFTY,10135.9,10069.85,10157.5,10096.0,0.0107,0.0102,0.0107,0.2043
2012-09-11,NIFTY,5390.0,5363.45,5405.35,5371.65,0.0077,0.0076,0.0077,0.1476
2012-09-12,BANKNIFTY,10183.45,10135.9,10216.9,10157.5,0.0104,0.01,0.0104,0.1993
2012-09-12,NIFTY,5431.0,5390.0,5446.95,5405.35,0.0077,0.0076,0.0077,0.1475
2012-09-13,BANKNIFTY,10207.8,10183.45,10225.9,10216.9,0.0101,0.0097,0.0101,0.1935
2012-09-13,NIFTY,5435.35,5431.0,5450.7,5446.95,0.0075,0.0073,0.0075,0.143
2012-09-14,BANKNIFTY,10642.9,10207.8,10650.85,10225.9,0.0142,0.0137,0.0142,0.2709
2012-09-14,NIFTY,5577.65,5435.35,5584.9,5450.7,0.0096,0.0093,0.0096,0.184
2012-09-17,BANKNIFTY,10981.65,10642.9,10977.3,10650.85,0.0157,0.0152,0.0157,0.3008
2012-09-17,NIFTY,5610.0,5577.65,5616.7,5584.9,0.0094,0.0091,0.0094,0.1804
2012-09-18,BANKNIFTY,11043.5,10981.65,11062.4,10977.3,0.0153,0.0148,0.0153,0.2928
2012-09-18,NIFTY,5600.05,5610.0,5612.25,5616.7,0.0092,0.0088,0.0092,0.1751
2012-09-20,BANKNIFTY,10920.8,11043.5,10952.3,11062.4,0.0151,0.0146,0.0151,0.2886
2012-09-20,NIFTY,5554.25,5600.05,5571.0,5612.25,0.0091,0.0087,0.0091,0.1741
2012-09-21,BANKNIFTY,11358.5,10920.8,11395.4,10952.3,0.0175,0.0172,0.0175,0.3349
2012-09-21,NIFTY,5691.15,5554.25,5707.05,5571.0,0.0107,0.0103,0.0107,0.2036
2012-09-24,BANKNIFTY,11423.5,11358.5,11422.5,11395.4,0.0171,0.0167,0.0171,0.3258
2012-09-24,NIFTY,5669.6,5691.15,5681.65,5707.05,0.0104,0.0101,0.0104,0.1982
2012-09-25,BANKNIFTY,11420.75,11423.5,11444.85,11422.5,0.0165,0.0162,0.0165,0.3158
2012-09-25,NIFTY,5673.9,5669.6,5683.0,5681.65,0.0101,0.0098,0.0101,0.1922
2012-09-26,BANKNIFTY,11427.25,11420.75,11433.75,11444.85,0.016,0.0157,0.016,0.3062
2012-09-26,NIFTY,5663.45,5673.9,5669.85,5683.0,0.0098,0.0095,0.0098,0.1866
2012-09-27,BANKNIFTY,11419.45,11427.25,11419.45,11433.75,0.0155,0.0152,0.0155,0.2969
2012-09-27,NIFTY,5649.5,5663.45,5649.5,5669.85,0.0095,0.0092,0.0095,0.1813
2012-09-28,BANKNIFTY,11456.8,11419.45,11513.75,11419.45,0.0151,0.0149,0.0151,0.2883
2012-09-28,NIFTY,5703.3,5649.5,5729.55,5649.5,0.0095,0.0096,0.0096,0.1835
2012-10-01,BANKNIFTY,11420.45,11456.8,11504.35,11513.75,0.0147,0.0144,0.0147,0.2799
2012-10-01,NIFTY,5718.8,5703.3,5754.15,5729.55,0.0092,0.0094,0.0094,0.179
2012-10-03,BANKNIFTY,11414.95,11420.45,11485.2,11504.35,0.0142,0.014,0.0142,0.2714
2012-10-03,NIFTY,5731.25,5718.8,5768.25,5754.15,0.009,0.0091,0.0091,0.174
2012-10-04,BANKNIFTY,11636.05,11414.95,11716.7,11485.2,0.0146,0.0144,0.0146,0.278
2012-10-04,NIFTY,5787.6,5731.25,5825.7,5768.25,0.009,0.0092,0.0092,0.1749
2012-10-05,BANKNIFTY,11511.4,11636.05,11575.75,11716.7,0.0144,0.0143,0.0144,0.2742
2012-10-05,NIFTY,5746.95,5787.6,5776.55,5825.7,0.0089,0.0091,0.0091,0.1742
2012-10-08,BANKNIFTY,11362.2,11511.4,11415.7,11575.75,0.0143,0.0143,0.0143,0.2728
2012-10-08,NIFTY,5676.0,5746.95,5701.0,5776.55,0.0092,0.0094,0.0094,0.1798
2012-10-09,BANKNIFTY,11446.1,11362.2,11497.75,11415.7,0.014,0.0139,0.014,0.2667
2012-10-09,NIFTY,5704.6,5676.0,5723.9,5701.0,0.009,0.0092,0.0092,0.1753
2012-10-10,BANKNIFTY,11291.5,11446.1,11342.45,11497.75,0.0139,0.0139,0.0139,0.2663
2012-10-10,NIFTY,5652.15,5704.6,5672.45,5723.9,0.009,0.0092,0.0092,0.1751
2012-10-11,BANKNIFTY,11431.3,11291.5,11513.35,11342.45,0.0138,0.014,0.014,0.2671
2012-10-11,NIFTY,5708.05,5652.15,5739.35,5672.45,0.009,0.0093,0.0093,0.1784
2012-10-12,BANKNIFTY,11388.45,11431.3,11423.8,11513.35,0.0135,0.0137,0.0137,0.2615
2012-10-12,NIFTY,5676.05,5708.05,5686.55,5739.35,0.0089,0.0093,0.0093,0.1783
2012-10-15,BANKNIFTY,11441.8,11388.45,11478.75,11423.8,0.0131,0.0133,0.0133,0.2546
2012-10-15,NIFTY,5687.25,5676.05,5702.75,5686.55,0.0086,0.0091,0.0091,0.1734
2012-10-16,BANKNIFTY,11348.0,11441.8,11355.75,11478.75,0.0129,0.0132,0.0132,0.2519
2012-10-16,NIFTY,5648.0,5687.25,5651.55,5702.75,0.0085,0.0091,0.0091,0.1733
2012-10-17,BANKNIFTY,11358.25,11348.0,11388.05,11355.75,0.0125,0.0128,0.0128,0.2446
2012-10-17,NIFTY,5660.25,5648.0,5669.5,5651.55,0.0083,0.0088,0.0088,0.1687
2012-10-18,BANKNIFTY,11586.35,11358.25,11624.5,11388.05,0.013,0.0134,0.0134,0.2559
2012-10-18,NIFTY,5718.7,5660.25,5736.45,5669.5,0.0084,0.009,0.009,0.1725
2012-10-19,BANKNIFTY,11491.2,11586.35,11505.45,11624.5,0.0128,0.0132,0.0132,0.2527
2012-10-19,NIFTY,5684.25,5718.7,5688.3,5736.45,0.0083,0.009,0.009,0.1719
2012-10-22,BANKNIFTY,11607.4,11491.2,11620.7,11505.45,0.0126,0.0131,0.0131,0.2494
2012-10-22,NIFTY,5717.15,5684.25,5724.75,5688.3,0.0082,0.0089,0.0089,0.1693
2012-10-23,BANKNIFTY,11578.15,11607.4,11584.6,11620.7,0.0123,0.0127,0.0127,0.2423
2012-10-23,NIFTY,5691.4,5717.15,5695.5,5724.75,0.008,0.0087,0.0087,0.1659
2012-10-25,BANKNIFTY,11614.5,11578.15,11614.5,11584.6,0.0119,0.0123,0.0123,0.2352
2012-10-25,NIFTY,5705.3,5691.4,5705.3,5695.5,0.0078,0.0084,0.0084,0.161
